molecular_function	defined_class
http://purl.obolibrary.org/obo/GO_0005096	http://purl.obolibrary.org/obo/UPHENO_0088679
http://purl.obolibrary.org/obo/GO_0016905	http://purl.obolibrary.org/obo/UPHENO_0088680
http://purl.obolibrary.org/obo/GO_0008289	http://purl.obolibrary.org/obo/UPHENO_0083003
http://purl.obolibrary.org/obo/GO_0045499	http://purl.obolibrary.org/obo/UPHENO_0083004
http://purl.obolibrary.org/obo/GO_0031545	http://purl.obolibrary.org/obo/UPHENO_0088681
http://purl.obolibrary.org/obo/GO_0003674	http://purl.obolibrary.org/obo/UPHENO_0031743
http://purl.obolibrary.org/obo/GO_0005515	http://purl.obolibrary.org/obo/UPHENO_0080029
http://purl.obolibrary.org/obo/GO_0004725	http://purl.obolibrary.org/obo/UPHENO_0088682
http://purl.obolibrary.org/obo/GO_0030551	http://purl.obolibrary.org/obo/UPHENO_0083002
http://purl.obolibrary.org/obo/GO_0016740	http://purl.obolibrary.org/obo/UPHENO_0086371
http://purl.obolibrary.org/obo/GO_0036094	http://purl.obolibrary.org/obo/UPHENO_0083006
http://purl.obolibrary.org/obo/GO_0030695	http://purl.obolibrary.org/obo/UPHENO_0088683
http://purl.obolibrary.org/obo/GO_0042800	http://purl.obolibrary.org/obo/UPHENO_0088684
http://purl.obolibrary.org/obo/GO_0004096	http://purl.obolibrary.org/obo/UPHENO_0031745
http://purl.obolibrary.org/obo/GO_0010854	http://purl.obolibrary.org/obo/UPHENO_0088685
http://purl.obolibrary.org/obo/GO_0004672	http://purl.obolibrary.org/obo/UPHENO_0088686
http://purl.obolibrary.org/obo/GO_0046974	http://purl.obolibrary.org/obo/UPHENO_0088687
http://purl.obolibrary.org/obo/GO_0010856	http://purl.obolibrary.org/obo/UPHENO_0088688
http://purl.obolibrary.org/obo/GO_0005542	http://purl.obolibrary.org/obo/UPHENO_0083005
http://purl.obolibrary.org/obo/GO_0005102	http://purl.obolibrary.org/obo/UPHENO_0088689
http://purl.obolibrary.org/obo/GO_0004671	http://purl.obolibrary.org/obo/UPHENO_0088690
http://purl.obolibrary.org/obo/GO_0009008	http://purl.obolibrary.org/obo/UPHENO_0088678
http://purl.obolibrary.org/obo/GO_0030247	http://purl.obolibrary.org/obo/UPHENO_0083007
http://purl.obolibrary.org/obo/GO_0005488	http://purl.obolibrary.org/obo/UPHENO_0083008
http://purl.obolibrary.org/obo/GO_0030248	http://purl.obolibrary.org/obo/UPHENO_0083009
http://purl.obolibrary.org/obo/GO_0004713	http://purl.obolibrary.org/obo/UPHENO_0088691
http://purl.obolibrary.org/obo/GO_0098772	http://purl.obolibrary.org/obo/UPHENO_0088692
http://purl.obolibrary.org/obo/GO_0003886	http://purl.obolibrary.org/obo/UPHENO_0088693
http://purl.obolibrary.org/obo/GO_0016791	http://purl.obolibrary.org/obo/UPHENO_0088694
http://purl.obolibrary.org/obo/GO_0031151	http://purl.obolibrary.org/obo/UPHENO_0088695
http://purl.obolibrary.org/obo/GO_0003824	http://purl.obolibrary.org/obo/UPHENO_0031742
http://purl.obolibrary.org/obo/GO_0019887	http://purl.obolibrary.org/obo/UPHENO_0088696
