molecular_function	defined_class
http://purl.obolibrary.org/obo/GO_0005096	http://purl.obolibrary.org/obo/UPHENO_0089900
http://purl.obolibrary.org/obo/GO_0004383	http://purl.obolibrary.org/obo/UPHENO_0083268
http://purl.obolibrary.org/obo/GO_0047555	http://purl.obolibrary.org/obo/UPHENO_0083269
http://purl.obolibrary.org/obo/GO_0008289	http://purl.obolibrary.org/obo/UPHENO_0083270
http://purl.obolibrary.org/obo/GO_0045499	http://purl.obolibrary.org/obo/UPHENO_0083272
http://purl.obolibrary.org/obo/GO_0031545	http://purl.obolibrary.org/obo/UPHENO_0089901
http://purl.obolibrary.org/obo/GO_0003674	http://purl.obolibrary.org/obo/UPHENO_0066865
http://purl.obolibrary.org/obo/GO_0005515	http://purl.obolibrary.org/obo/UPHENO_0083277
http://purl.obolibrary.org/obo/GO_0004725	http://purl.obolibrary.org/obo/UPHENO_0089902
http://purl.obolibrary.org/obo/GO_0004129	http://purl.obolibrary.org/obo/UPHENO_0083278
http://purl.obolibrary.org/obo/GO_0004407	http://purl.obolibrary.org/obo/UPHENO_0083279
http://purl.obolibrary.org/obo/GO_0036094	http://purl.obolibrary.org/obo/UPHENO_0083280
http://purl.obolibrary.org/obo/GO_0030552	http://purl.obolibrary.org/obo/UPHENO_0083281
http://purl.obolibrary.org/obo/GO_0004096	http://purl.obolibrary.org/obo/UPHENO_0066872
http://purl.obolibrary.org/obo/GO_0005085	http://purl.obolibrary.org/obo/UPHENO_0083267
http://purl.obolibrary.org/obo/GO_0010854	http://purl.obolibrary.org/obo/UPHENO_0089903
http://purl.obolibrary.org/obo/GO_0004672	http://purl.obolibrary.org/obo/UPHENO_0083271
http://purl.obolibrary.org/obo/GO_0010856	http://purl.obolibrary.org/obo/UPHENO_0089904
http://purl.obolibrary.org/obo/GO_0005542	http://purl.obolibrary.org/obo/UPHENO_0083273
http://purl.obolibrary.org/obo/GO_0004115	http://purl.obolibrary.org/obo/UPHENO_0083274
http://purl.obolibrary.org/obo/GO_0009008	http://purl.obolibrary.org/obo/UPHENO_0089905
http://purl.obolibrary.org/obo/GO_0004016	http://purl.obolibrary.org/obo/UPHENO_0083275
http://purl.obolibrary.org/obo/GO_0030248	http://purl.obolibrary.org/obo/UPHENO_0083276
http://purl.obolibrary.org/obo/GO_0004713	http://purl.obolibrary.org/obo/UPHENO_0089906
http://purl.obolibrary.org/obo/GO_0003886	http://purl.obolibrary.org/obo/UPHENO_0089907
http://purl.obolibrary.org/obo/GO_0016791	http://purl.obolibrary.org/obo/UPHENO_0089908
http://purl.obolibrary.org/obo/GO_0003824	http://purl.obolibrary.org/obo/UPHENO_0066897
http://purl.obolibrary.org/obo/GO_0019887	http://purl.obolibrary.org/obo/UPHENO_0089909
