defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	malformed	malformed_label
http://purl.obolibrary.org/obo/XPO_0115383	abnormal(ly) anterioralized of embryo (T)	http://purl.obolibrary.org/obo/XAO_0000113	embryo	http://purl.obolibrary.org/obo/PATO_0030000	anterioralized
http://purl.obolibrary.org/obo/XPO_0115384	abnormal(ly) dorsalized of embryo (T)	http://purl.obolibrary.org/obo/XAO_0000113	embryo	http://purl.obolibrary.org/obo/PATO_0030001	dorsalized
http://purl.obolibrary.org/obo/XPO_0115385	abnormal(ly) posterioralized of embryo (T)	http://purl.obolibrary.org/obo/XAO_0000113	embryo	http://purl.obolibrary.org/obo/PATO_0030002	posterioralized
http://purl.obolibrary.org/obo/XPO_0115617	abnormal(ly) posterioralized of primordial germ cell (T)	http://purl.obolibrary.org/obo/XAO_0003149	primordial germ cell	http://purl.obolibrary.org/obo/PATO_0030002	posterioralized
http://purl.obolibrary.org/obo/XPO_0115386	abnormal(ly) ventralized of embryo (T)	http://purl.obolibrary.org/obo/XAO_0000113	embryo	http://purl.obolibrary.org/obo/PATO_0030003	ventralized
http://purl.obolibrary.org/obo/XPO_0115501	abnormal(ly) wholly anterioralized of whole organism (T)	http://purl.obolibrary.org/obo/XAO_0003004	whole organism	http://purl.obolibrary.org/obo/PATO_0000615	wholly anterioralized
http://purl.obolibrary.org/obo/XPO_0115651	abnormal(ly) wholly dorsalized of epaxial muscle (T)	http://purl.obolibrary.org/obo/XAO_0003229	epaxial muscle	http://purl.obolibrary.org/obo/PATO_0000620	wholly dorsalized
http://purl.obolibrary.org/obo/XPO_0115467	abnormal(ly) wholly dorsalized of trunk somite (T)	http://purl.obolibrary.org/obo/XAO_0000314	trunk somite	http://purl.obolibrary.org/obo/PATO_0000620	wholly dorsalized
http://purl.obolibrary.org/obo/XPO_0115502	abnormal(ly) wholly dorsalized of whole organism (T)	http://purl.obolibrary.org/obo/XAO_0003004	whole organism	http://purl.obolibrary.org/obo/PATO_0000620	wholly dorsalized
http://purl.obolibrary.org/obo/XPO_0115503	abnormal(ly) wholly posterioralized of whole organism (T)	http://purl.obolibrary.org/obo/XAO_0003004	whole organism	http://purl.obolibrary.org/obo/PATO_0000630	wholly posterioralized
http://purl.obolibrary.org/obo/XPO_0115417	abnormal(ly) wholly ventralized of eye (T)	http://purl.obolibrary.org/obo/XAO_0000179	eye	http://purl.obolibrary.org/obo/PATO_0000636	wholly ventralized
http://purl.obolibrary.org/obo/XPO_0115504	abnormal(ly) wholly ventralized of whole organism (T)	http://purl.obolibrary.org/obo/XAO_0003004	whole organism	http://purl.obolibrary.org/obo/PATO_0000636	wholly ventralized
